;matricula;empresa;titulo_do_cargo;sindicato;valor_diario_sindicato;dias_uteis;qtde_dias_ferias;qtde_dias_licenca
0;34941;1410;TECH RECRUITER II;SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.;37.5;22;0;0
1;24401;1410;COORDENADOR ADMINISTRATIVO;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
2;35254;1410;ANALISTA CONTABIL-FISCAL II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
3;31731;1410;ANALISTA CONTABIL-FISCAL III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
4;31009;1410;ANALISTA DE CONTROLADORIA I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
5;28979;1410;ANALISTA DE CONTROLADORIA II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
6;24122;1410;GERENTE CONTABIL-FISCAL;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
7;35149;1410;ASSISTENTE CONTABIL-FISCAL;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
8;25022;1410;COORDENADOR CONTABIL-FISCAL;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
9;32130;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
10;32213;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
11;34597;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
12;25314;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
13;31868;1410;ANALISTA DE ADMINISTRACAO DE PESSOAS II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
14;26314;1410;ASSISTENTE DE ADMINISTRACAO DE PESSOAS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
15;32337;1410;ASSISTENTE DE ADMINISTRACAO DE PESSOAS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
16;33856;1410;ASSISTENTE DE ADMINISTRACAO DE PESSOAS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
17;33883;1410;ASSISTENTE DE ADMINISTRACAO DE PESSOAS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
18;33395;1410;COORDENADOR DE ADMINISTRACAO DE PESSOAS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
19;28996;1410;LIDER TECNICO PLENO;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
20;35132;1410;COORDENADOR DE ATRACAO E SELECAO;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
21;32031;1410;TECH RECRUITER I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
22;35177;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
23;35182;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
24;35224;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
25;35390;1410;TECH RECRUITER II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
26;35633;1410;TECH RECRUITER III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
27;31795;1410;ANALISTA DE FINANCAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
28;35136;1410;ANALISTA DE FINANCAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
29;31269;1410;ANALISTA DE FINANCAS II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
30;25251;1410;ANALISTA DE FINANCAS III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
31;23499;1410;COORDENADOR FINANCEIRO;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
32;26927;1410;ANALISTA DE COMPLIANCE II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
33;33708;1410;GERENTE JURIDICO;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
34;33595;1410;DESENVOLVEDOR DE RPA I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
35;35360;1410;ASSISTENTE DE COMPRAS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
36;26182;1410;ANALISTA DE COMPRAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
37;29033;1410;ANALISTA DE COMPRAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
38;31494;1410;GERENTE DE PESSOAS E PERFORMANCE;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
39;31963;1410;ANALISTA DE EDUCACAO CORPORATIVA I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
40;32975;1410;DESIGNER UX/UI II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
